Num_Restaurants,TotTimeElapsed_sec,ScrapeTime_sec
1,11.16,11.16
2,14.02,2.86
3,16.72,2.7
4,19.87,3.15
5,22.7,2.83
6,27.03,4.33
7,29.56,2.53
8,32.91,3.35
9,36.11,3.2
10,39.19,3.08
11,41.52,2.33
12,44.25,2.73
13,47.06,2.81
14,49.81,2.75
15,52.56,2.75
16,55.34,2.78
17,57.97,2.63
18,61,3.03
19,64.55,3.55
20,67.45,2.9
21,70.91,3.46
22,73.84,2.93
23,77.59,3.75
24,80.31,2.72
25,83.02,2.71
26,86.02,3
27,88.69,2.67
28,91.27,2.58
29,94.39,3.12
30,96.98,2.59
31,99.55,2.57
32,102.23,2.68
33,104.67,2.44
34,107.17,2.5
35,110.12,2.95
36,113.48,3.36
37,116.62,3.14
38,119.34,2.72
39,122.53,3.19
40,125.44,2.91
41,137.05,11.61
42,140.11,3.06
43,142.87,2.76
44,146,3.13
45,148.84,2.84
46,151.98,3.14
47,154.92,2.94
48,157.81,2.89
49,160.62,2.81
50,163.44,2.82
51,166.92,3.48
52,169.61,2.69
53,172.33,2.72
54,175.08,2.75
55,177.39,2.31
56,180.02,2.63
57,183.09,3.07
58,185.62,2.53
59,188.17,2.55
60,191.36,3.19
61,194.2,2.84
62,198.09,3.89
63,200.89,2.8
64,203.75,2.86
65,206.87,3.12
66,209.55,2.68
67,212.2,2.65
68,215.3,3.1
69,218.39,3.09
70,221.16,2.77
71,223.78,2.62
72,226.86,3.08
73,229.73,2.87
74,233.61,3.88
75,236.28,2.67
76,239.41,3.13
77,242,2.59
78,244.75,2.75
79,246.84,2.09
80,250.31,3.47
81,253.78,3.47
82,256.62,2.84
83,259.14,2.52
84,261.41,2.27
85,264.06,2.65
86,267,2.94
87,269.66,2.66
88,272.64,2.98
89,274.87,2.23
90,277.3,2.43
91,280.53,3.23
92,282.86,2.33
93,285.8,2.94
94,288.72,2.92
95,291.34,2.62
96,294.19,2.85
97,296.78,2.59
98,299.61,2.83
99,302.55,2.94
100,304.75,2.2
101,307.59,2.84
102,310.7,3.11
103,314.3,3.6
104,317.12,2.82
105,319.8,2.68
106,323.22,3.42
107,326.05,2.83
108,328.45,2.4
109,331.2,2.75
110,333.91,2.71
111,337.83,3.92
112,340.22,2.39
113,342.59,2.37
114,345.5,2.91
115,347.64,2.14
116,350.05,2.41
117,352.56,2.51
118,354.95,2.39
119,357.87,2.92
120,360.39,2.52
121,363.17,2.78
122,365.66,2.49
123,368.03,2.37
124,371.59,3.56
125,374.27,2.68
126,377.61,3.34
127,380.41,2.8
128,384.2,3.79
129,386.86,2.66
130,390.05,3.19
131,393.31,3.26
132,396.33,3.02
133,398.84,2.51
134,401.58,2.74
135,404.47,2.89
136,406.83,2.36
137,410.02,3.19
138,413.09,3.07
139,415.72,2.63
140,418.09,2.37
141,420.36,2.27
142,423.44,3.08
143,426.27,2.83
144,428.58,2.31
145,431.94,3.36
146,434.86,2.92
147,437.59,2.73
148,440.08,2.49
149,443.52,3.44
150,446.12,2.6
151,449.34,3.22
152,452.34,3
153,455.7,3.36
154,458.06,2.36
155,460.83,2.77
156,463.64,2.81
157,467.37,3.73
158,469.87,2.5
159,472.66,2.79
160,475.37,2.71
161,484.89,9.52
162,487.39,2.5
163,491.97,4.58
164,495.69,3.72
165,499.25,3.56
166,502.36,3.11
167,505.58,3.22
168,508.3,2.72
169,511.2,2.9
170,514.28,3.08
171,518.28,4
172,521.5,3.22
173,524.59,3.09
174,527.16,2.57
175,529.86,2.7
176,533.25,3.39
177,536.09,2.84
178,539.34,3.25
179,542.3,2.96
180,545.45,3.15
181,548.73,3.28
182,553.19,4.46
183,556.11,2.92
184,558.64,2.53
185,561.42,2.78
186,563.94,2.52
187,567.55,3.61
188,572.03,4.48
189,574.8,2.77
190,578.02,3.22
191,581.16,3.14
192,584.7,3.54
193,587.77,3.07
194,590.28,2.51
195,594.09,3.81
196,596.84,2.75
197,600.19,3.35
198,602.48,2.29
199,605.16,2.68
200,608.78,3.62
201,623.34,14.56
202,627.33,3.99
203,630.22,2.89
204,632.98,2.76
205,636.19,3.21
206,640.83,4.64
207,644.05,3.22
208,647.08,3.03
209,650.45,3.37
210,653.58,3.13
211,656.73,3.15
212,659.87,3.14
213,662.31,2.44
214,665.27,2.96
215,668.34,3.07
216,671.56,3.22
217,674.56,3
218,677.5,2.94
219,681.05,3.55
220,685.37,4.32
221,687.61,2.24
222,690.2,2.59
223,692.89,2.69
224,696.03,3.14
225,698.66,2.63
226,701.66,3
227,704.23,2.57
228,707.59,3.36
229,710.42,2.83
230,713.47,3.05
231,716.72,3.25
232,720.83,4.11
233,724.08,3.25
234,728.09,4.01
235,731.27,3.18
236,734.87,3.6
237,738.55,3.68
238,741.97,3.42
239,744.52,2.55
240,747.86,3.34
241,750.95,3.09
242,754.11,3.16
243,757.53,3.42
244,760.92,3.39
245,763.42,2.5
246,766.34,2.92
247,769.14,2.8
248,772.23,3.09
249,775.3,3.07
250,777.83,2.53
251,781.61,3.78
252,784.31,2.7
253,787.11,2.8
254,790.08,2.97
255,793.17,3.09
256,796.17,3
257,800.28,4.11
258,803,2.72
259,805.62,2.62
260,808.53,2.91
261,811.83,3.3
262,814.53,2.7
263,817.67,3.14
264,820.84,3.17
265,823.7,2.86
266,826.73,3.03
267,829.7,2.97
268,833.34,3.64
269,836.97,3.63
270,839.67,2.7
271,842.83,3.16
272,845.48,2.65
273,847.97,2.49
274,851.56,3.59
275,855.14,3.58
276,858.37,3.23
277,862.39,4.02
278,865.16,2.77
279,868.14,2.98
280,871.25,3.11
281,874.22,2.97
282,876.98,2.76
283,879.64,2.66
284,882.72,3.08
285,885.31,2.59
286,888.27,2.96
287,891.05,2.78
288,894.28,3.23
289,896.89,2.61
290,899.48,2.59
291,902.22,2.74
292,905.42,3.2
293,908.03,2.61
294,911.66,3.63
295,915,3.34
296,917.98,2.98
297,921.39,3.41
298,924.03,2.64
299,927.34,3.31
300,930.56,3.22
301,934.14,3.58
302,936.98,2.84
303,940.11,3.13
304,943.12,3.01
305,946.36,3.24
306,949.48,3.12
307,952.41,2.93
308,955.31,2.9
309,957.98,2.67
310,960.95,2.97
311,964.08,3.13
312,967.36,3.28
313,970.44,3.08
314,973.7,3.26
315,976.42,2.72
316,978.75,2.33
317,982.14,3.39
318,984.7,2.56
319,988.3,3.6
320,991.61,3.31
321,1006.97,15.36
322,1011.8,4.83
323,1016.22,4.42
324,1020.08,3.86
325,1023.19,3.11
326,1027.89,4.7
327,1032.67,4.78
328,1036.12,3.45
329,1039.55,3.43
330,1043.59,4.04
331,1048.67,5.08
332,1052.16,3.49
333,1055.69,3.53
334,1058.62,2.93
335,1062.87,4.25
336,1065.84,2.97
337,1069.11,3.27
